date,open,close,high,low,volume,amount
2025-02-26,2246.95,2268.22,2268.57,2232.31,297225033.0,586936953671.49
2025-02-27,2268.5,2256.51,2279.39,2225.53,307273306.0,596467082624.74
2025-02-28,2238.34,2170.39,2240.78,2163.69,281464504.0,530902059044.94
2025-03-03,2176.82,2196.52,2232.2,2161.36,247920944.0,472696215188.87
2025-03-04,2170.99,2190.08,2193.53,2161.06,225876166.0,427875703570.57
2025-03-05,2190.58,2190.36,2200.87,2173.9,233260677.0,442270535196.44
2025-03-06,2204.25,2234.69,2243.28,2202.01,306910775.0,592297157877.56
2025-03-07,2221.91,2205.31,2226.0,2195.13,287065098.0,551841091100.51
2025-03-10,2211.1,2199.88,2217.77,2182.58,231584299.0,438592530373.39
2025-03-11,2172.18,2204.03,2204.03,2171.27,220927831.0,413787146113.67
2025-03-12,2211.15,2191.27,2214.97,2191.1,266044504.0,497412152810.66
2025-03-13,2189.47,2166.0,2200.91,2154.95,250422746.0,457459231683.6
2025-03-14,2165.53,2226.72,2233.83,2161.89,265860088.0,507505990281.64
2025-03-17,2230.85,2215.13,2233.33,2212.02,245505172.0,461676726065.97
2025-03-18,2225.2,2228.64,2242.22,2215.37,238408415.0,461631427130.75
2025-03-19,2221.6,2222.35,2237.95,2208.26,229680955.0,440646530017.23
2025-03-20,2220.5,2200.03,2221.61,2198.38,235839545.0,416932299413.42
2025-03-21,2193.36,2152.28,2201.42,2149.09,260886417.0,433846880498.88
2025-03-24,2154.67,2152.55,2160.46,2125.13,243858778.0,400225317591.73
2025-03-25,2154.2,2145.48,2165.01,2136.61,198697315.0,347104338738.19
2025-03-26,2143.12,2139.9,2157.78,2139.9,184203191.0,307612308758.98
2025-03-27,2130.49,2145.1,2165.16,2117.75,191716879.0,324723520805.6
2025-03-28,2140.07,2128.21,2152.4,2128.21,179554641.0,299470079793.54
2025-03-31,2117.88,2103.7,2123.87,2087.13,186061401.0,321330783331.91
2025-04-01,2108.46,2101.88,2127.54,2100.3,171368258.0,303716942192.44
2025-04-02,2103.39,2104.63,2121.56,2097.82,151329115.0,265072518328.96
2025-04-03,2078.15,2065.4,2097.67,2057.63,163979246.0,298990003383.28
2025-04-07,1925.64,1807.21,1939.27,1756.64,304075576.0,464672649625.0
2025-04-08,1837.54,1840.31,1877.44,1812.13,256682141.0,390333762484.02
2025-04-09,1805.46,1858.36,1872.93,1777.25,279452297.0,418890418530.32
2025-04-10,1920.64,1900.53,1944.1,1897.34,256686850.0,425156587350.3
2025-04-11,1885.86,1926.37,1943.43,1884.6,202378237.0,348882512916.65
2025-04-14,1954.05,1932.91,1956.16,1928.63,191935063.0,323184008045.35
2025-04-15,1933.89,1930.4,1940.75,1918.44,168422550.0,273743106715.87
2025-04-16,1918.03,1907.11,1919.09,1879.78,170499714.0,273040794540.48
2025-04-17,1893.02,1908.78,1923.53,1892.47,150012821.0,248279994249.17
